Designation,ra,dec,type,confidence,variability_snr,W1_amp,W2_amp,n_obs,W1mag,W2mag,W3mag,W4mag,Jmag,Hmag,Kmag,W1emag,W2emag,W3emag,W4emag,Jemag,Hemag,Kemag,Gmag,Gemag,BPmag,BPemag,RPmag,RPemag,period1,period2,period_significance,suspect_period,known_extragalactic,simbad_type,Plx,e_Plx,A0,AG,E(BP-RP),G_absmag,blended_source?,latent_artifact?,cluster_id
VarWISE J042001.78+171645.8,65.00744,17.2794,cep,1.0,14.433,0.595,0.559,259,13.773,13.66,12.02,9.03,14.24,13.76,13.69,0.03,0.04,,,0.03,0.03,0.05,16.832605,0.023946,17.556614,0.078008,15.971767,0.066747,16.638,33.295,26.292,False,False,Type2Cep,-0.1003,0.078,,,,,0.04,0.08,23654804476336294
VarWISE J032808.58+182854.4,52.03576,18.4818,cep,0.999,8.103,0.103,0.094,238,8.148,8.139,8.14,8.12,8.78,8.31,8.22,0.02,0.02,0.02,0.29,0.02,0.02,0.02,10.008802,0.003403,10.308434,0.004631,9.522552,0.006566,4.401175,8.80245,18.41,False,False,Variable*,1.6484,0.0159,1.6299,1.4776,0.7965,1.1560059,0.04,0.02,28719177783765421
VarWISE J032404.29+211344.7,51.0179,21.2291,cep,0.9982,10.165,0.332,0.393,229,13.674,13.656,12.44,8.89,14.53,14.05,13.97,0.03,0.04,,,0.03,0.04,0.05,16.170671,0.012024,16.764969,0.044546,15.356056,0.03271,14.66185,29.326,14.61,False,False,ClassicalCep,0.008,0.0549,,,,,0.04,0.02,30407856868720221
VarWISE J023601.29+242744.6,39.00539,24.4624,cep,0.9898,7.849,0.095,0.117,252,10.344,10.321,10.18,8.56,10.81,10.44,10.32,0.02,0.02,0.07,,0.02,0.02,0.02,11.952897,0.003256,12.249406,0.007158,11.485858,0.006699,2.0724,1.0362,16.399,False,False,,1.5974,0.0156,0.8293,0.7274,0.3937,3.003852,0.04,0.16,50953514805493776
VarWISE J030451.07+242044.8,46.21281,24.3458,cep,0.8708,23.13,0.525,0.514,262,12.777,12.645,12.38,8.83,13.12,12.85,12.66,0.02,0.03,0.53,,0.02,0.02,0.02,14.713361,0.063244,15.146755,0.254732,14.252507,0.166036,41.645,85.67,13.364,False,False,,1.7525,0.0262,0.143,0.1195,0.0661,6.056345,0.04,0.08,55739798610642078
VarWISE J033156.08+275625.8,52.9837,27.9405,cep,0.9771,5.488,0.063,0.068,256,10.066,10.033,10.07,8.48,10.56,10.25,10.12,0.02,0.02,0.06,,0.02,0.02,0.02,11.412593,0.003073,11.6055,0.00359,11.07026,0.00554,2.57945,5.1589,16.016,False,False,,1.2316,0.021,,,,,0.04,0.04,59681584253073459
VarWISE J030945.21+295250.8,47.43839,29.8808,cep,0.9455,24.081,1.961,1.729,157,14.54,14.321,12.08,8.78,14.26,13.98,13.8,0.03,0.03,0.34,,0.03,0.04,0.04,19.126156,0.009044,19.360403,0.05862,18.605856,0.045323,39.605,605.0,21.401,False,False,CataclyV*,2.402,0.2011,,,,,0.06,0.03,61369503766359144
VarWISE J030228.99+352120.8,45.62083,35.3558,cep,0.868,7.526,0.08,0.087,259,9.417,9.398,9.46,8.74,9.89,9.65,9.54,0.02,0.02,0.05,,0.02,0.02,0.02,10.677315,0.002853,10.85716,0.003262,10.3578,0.004903,3.7175,2.47835,13.565,False,False,,1.8739,0.0183,0.8928,0.8211,0.4401,1.8564911,0.04,0.05,69250498171524746
VarWISE J051149.69+302725.2,77.95708,30.457,cep,0.9794,11.416,0.163,0.186,248,11.303,11.26,11.0,8.44,12.13,11.65,11.39,0.02,0.02,0.14,,0.02,0.03,0.02,14.154536,0.005713,14.849071,0.0165,13.337125,0.014394,3.44425,1.7221,22.742,False,False,PulsV*,1.009,0.0204,1.352,1.0543,0.5669,4.4113264,0.04,0.04,77981647580501478
VarWISE J044204.09+274020.9,70.51705,27.6725,cep,0.9901,7.53,0.114,0.123,269,10.746,10.722,10.61,8.4,11.64,11.14,10.95,0.02,0.02,0.1,,0.02,0.02,0.02,13.309811,0.003237,13.804378,0.004497,12.626124,0.007881,8.42905,16.861,15.854,False,False,EclBin,0.3428,0.0172,,,,,0.04,0.08,78824824285790891
